algorithm,dim,iters,agents,runs,best_mean,best_std,best_min,mean_time
PSO,2,50,10,8,0.016743758091230188,0.01616119238870785,0.0015261074958385912,0.008308112621307373
PSO,2,100,10,8,3.901614238577267e-05,4.855265339827319e-05,6.778995157663559e-06,0.016864657402038574
PSO,2,200,10,8,4.0852965454973855e-10,3.136717897991662e-10,3.8959502290936143e-11,0.03317636251449585
PSO,2,50,30,8,0.006350504292389925,0.003885837992874516,0.0019977144195384433,0.022861957550048828
PSO,2,100,30,8,4.253607739812537e-06,4.063812323740923e-06,7.30789313951874e-07,0.045736342668533325
PSO,2,200,30,8,3.588285224509491e-11,2.830009893891807e-11,7.681411062776533e-12,0.09204888343811035
PSO,2,50,50,8,0.0033105694660107154,0.0011569989240050572,0.001439622939845453,0.03555971384048462
PSO,2,100,50,8,5.075954139233119e-06,2.965535959575322e-06,1.5387398559774113e-06,0.07350873947143555
PSO,2,200,50,8,1.4992895813747964e-11,1.2117472311663187e-11,3.40394379350073e-12,0.14593148231506348
PSO,3,50,10,8,0.07997895532981314,0.04892040153586578,0.013999041725256678,0.008760154247283936
PSO,3,100,10,8,0.0007155180110953729,0.0005338348762512357,9.014158614650825e-06,0.016927659511566162
PSO,3,200,10,8,1.1014865908265392e-08,8.492327361582913e-09,1.4029564177064913e-09,0.032693326473236084
PSO,3,50,30,8,0.028853482406284936,0.02348759380878083,0.011430638795396408,0.023808807134628296
PSO,3,100,30,8,6.479896914424188e-05,4.491428282792027e-05,1.8593133106481474e-05,0.04391944408416748
PSO,3,200,30,8,1.2098984036867932e-09,6.493979486119192e-10,4.1830405805853843e-10,0.0896541178226471
PSO,3,50,50,8,0.019351093271016584,0.013314433225597356,0.008186532036060346,0.03662535548210144
PSO,3,100,50,8,2.9528842584003456e-05,1.4896705557565524e-05,1.6301297837362227e-05,0.07202774286270142
PSO,3,200,50,8,2.6806512565258345e-10,1.771705853003098e-10,4.476463644209616e-11,0.14757218956947327
ABC,2,50,10,8,4.964805285112561e-06,4.235023063228207e-06,9.120449324662161e-07,0.044290751218795776
ABC,2,100,10,8,1.7968737608953234e-11,1.6388618134298154e-11,3.3084646133829665e-13,0.08500495553016663
ABC,2,200,10,8,1.8280851161733835e-06,1.70137275101187e-06,4.522740271184489e-08,0.18262234330177307
ABC,2,50,30,8,1.6625724503782635e-06,1.2089523122241652e-06,1.346666178569933e-07,0.13165223598480225
ABC,2,100,30,8,1.283417816466681e-13,1.3036571382875744e-13,1.4654943925052066e-14,0.2650221884250641
ABC,2,200,30,8,5.781430001405852e-09,1.1238928772280371e-08,2.1430412999734472e-11,0.5378733575344086
ABC,2,50,50,8,1.1639394168483364e-06,9.054315905989469e-07,4.313421131385553e-08,0.2091730833053589
ABC,2,100,50,8,3.2862601528904634e-14,2.6012409374245262e-14,3.9968028886505635e-15,0.43278974294662476
ABC,2,200,50,8,6.071033897825373e-09,1.1597354508953855e-08,4.214273374714139e-11,0.8593048751354218
ABC,3,50,10,8,0.0013157245068713408,0.001120406310115492,0.00017847316728536455,0.04472750425338745
ABC,3,100,10,8,3.843112192924991e-07,5.817626001042001e-07,1.9697710129662482e-10,0.0859275758266449
ABC,3,200,10,8,0.45808679051609813,1.0655024046062112,3.9968028886505635e-15,0.18004310131072998
ABC,3,50,30,8,0.0006340768992010304,0.0003870975438887948,0.00019778538288806047,0.12644848227500916
ABC,3,100,30,8,1.0400365457741145e-08,8.318773969294529e-09,2.7294864146654163e-09,0.2513391971588135
ABC,3,200,30,8,0.46337105727630545,0.6979611605182521,4.440892098500626e-16,0.5028843283653259
ABC,3,50,50,8,0.0004540151770893175,0.0003341018960814857,4.6408761683824906e-05,0.20418411493301392
ABC,3,100,50,8,3.6577980644381114e-09,2.942452420342554e-09,1.1696603685606988e-09,0.4191097319126129
ABC,3,200,50,8,0.28146904663657857,0.547785478438971,4.440892098500626e-16,0.8277263045310974
